,Countries,Raw_Score_08,GHI_08,Average dietary energy supply adequacy,Average value of food production,"Share of Dietary Energy Supply Derived from Cereals, Roots and Tubers",Average protein supply,Average supply of protein of animal origin,Percent of paved roads over total roads,Road density (per 100 square km of land area),Rail lines density (per 100 square km of land area),Gross domestic product per capita (in purchasing power equivalent),Domestic food price level index,Prevalence of undernourishment,Depth of the food deficit,Prevalence of food inadequacy,Cereal import dependecy ratio,Percent of arable land equipped for irrigation,Value of food imports in total merchandise exports,Political stability and absence of violence/terrorism,Domestic food price volatility index,Per capita food production variability,Per capita food supply variability,Percentage of population with access to improved water sources,Percentage of population with access to sanitation facilities,Percentage of children under 5 years of age affected by wasting,Percentage of children under 5 years of age who are stunted,Percentage of children under 5 years of age who are underweight,Prevalence of anaemia among pregnant women,Prevalence of anaemia among children under 5 years of age,undernourished,wasting,stunting,underfive,score
94,Peru,5.6,1,114,268,57,71,26,16.7,6.4,0.2,9243.7,3.71,13.7,93,22.6,46.5,59.7,7,-0.9,6.4,4.7,42,83.7,70.3,0.8,28.2,4.5,27.2,40.9,20.3,1,29.8,2.8,18.8
95,Philippines,14,2,118,208,60,60,25,,,0.2,5336.2,8.71,13,87,20.1,22.6,28.3,10,-1.77,6.5,3.7,40,89.5,69.1,6.9,32.3,20.7,36.5,34.7,17.6,6,33.8,3.6,22.1
96,Qatar,NA,NA,,31,,,,,83.3,,121204.5,1.56,,,,,90.9,2,1.1,14.5,2.9,,100,98.5,,,,28.9,26.2,0,2.4.9,3,1,0
97,Romania,4.9,0,135,377,44,108,54,,45.3,4.5,18558,4.24,<5.0,,,-20.7,35.5,9,0.16,5.9,41.6,40,94.6,76.7,,,,26.7,26.9,0.6,3,9.3,2.1,6.1
98,Russian Federation,4.9,0,132,287,41,100,53,,5.5,0.5,22505.7,4.22,<5.0,,,-22.5,3.6,6,-0.76,10.1,8.4,59,96.1,72.3,,,,23.9,25.6,2,3.4.9,11.6,1.7,7.2
99,Rwanda,22.3,3,99,181,51,53,5,,,,1229.9,7.8,40.1,301,49.2,22.3,0.9,51,-0.3,13.7,5,34,71.8,55.3,,,,21.5,40.9,46.7,4.8,4.91.7,10.6,44.4.9
100,Saudi Arabia,4.9,0,128,128,50,82,31,,,0.1,43567.3,2.75,<5.0,18,6.6,85.7,50,5,-0.37,7.9,1.4,22,97,100,,,,41.9,40.4,2.8,11.8,9.3,2,11.8
101,Senegal,15.4,2,110,120,60,61,17,,,,2171.6,8.32,14.6,93,22.7,45,3.2,61,-0.15,10,11.2,22,73.3,44.1,,,,64.2,80.7,22.9,8.7,20.1,9.8,28.4.9
102,Serbia,4.9,0,109,397,39,80,37,,44.9,4.6,12521.5,4.21,<5.0,,,-24.6,2.7,8,-0.56,13.7,,,99.3,96.6,,,,27.8,26.5,0,4.4.9,8.1,0,0
103,Sierra Leone,32.2,30,104,157,63,54,14,,,,1294.5,6.44,30.7,227,39,22.9,2,67,-0.21,9.7,12.1,58,55.4,12.3,10.5,37.4,21.3,49,76.1,39.3,10.2,46.9,20.2,4.92.4
104,Slovakia,NA,NA,113,275,35,73,36,87,89.4,7.3,24729.4,2.68,<5.0,,,-20.1,9.9,5,1.07,9.7,16.2,24,100,98.8,,,,26,26.7,4.9.4,4,8.4,1,7.4
105,Somalia,4.9,0,,,,,,,,,,,,,,68.8,18.2,86,-3.31,,3.6,,30.9,22.9,,,,46.9,58.2,0,13.2,42.1,17.4,0
